headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,example_ru,synonyms,antonyms,word_family,common_mistake
do away with,phrasal verb,B2,"bekor qilmoq, tugatmoq, voz kechmoq","отменять, упразднять, избавляться","To stop using, doing, or having something; to abolish.",/duː əˈweɪ wɪð/,20149,phrasal,The company decided to do away with paper invoices to save money.,Kompaniya pulni tejash uchun qogʻoz hisob-fakturalardan voz kechishga qaror qildi.,"Компания решила отказаться от бумажных счетов, чтобы сэкономить деньги.","abolish, eliminate, discard","introduce, retain",do,'Do away with' birikmasida 'with' tushirib qoldirilmaydi.
dry up,phrasal verb,B2,"qurib qolmoq, tugamoq","иссякать, пересыхать","To decrease and stop being available, or to completely dry.",/draɪ ʌp/,20151,phrasal,Funding for the research project dried up after two years.,Tadqiqot loyihasini moliyalashtirish ikki yildan soʻng tugab qoldi.,Финансирование исследовательского проекта иссякло через два года.,"run out, dwindle, evaporate","pour in, increase","dryness, dry","'Dry up' faqat suvga nisbatan emas, balki mablag' va manbalarning tugashiga nisbatan ham ishlatiladi."
embark on,phrasal verb,C1,"yangi va muhim ishga kirishmoq, boshlamoq","браться за, начинать, приступать к","To start or engage in a new, important, or demanding project or journey.",/ɪmˈbɑːk ɒn/,20153,phrasal,"After graduating from university, she decided to embark on a career in journalism.","Universitetni tugatgach, u jurnalistika sohasida faoliyat boshlashga qaror qildi.",После окончания университета она решила начать карьеру в журналистике.,"commence, launch into, set out on","complete, finish, conclude",embarkation,"'Embark on' birikmasidan so'ng ot yoki fe'lning '-ing' shakli keladi, fe me'yoriy shakli emas."
fend off,phrasal verb,C1,"daf qilmoq, qaytarmoq","отбивать, отражать, давать отпор","To defend oneself against an attack, criticism, or unwanted questions.",/fend ɒf/,20155,phrasal,The politician had to fend off difficult questions from journalists during the interview.,Siyosatchi intervyu davomida jurnalistlarning qiyin savollarini daf qilishiga toʻgʻri keldi.,Политику пришлось отбиваться от сложных вопросов журналистов во время интервью.,"ward off, deflect, repel","yield to, succumb to",fend,'Fend off' iborasini 'fend for' (o'zini o'zi ta'minlamoq) bilan adashtirmang.
gear up,phrasal verb,B2,"tayyorgarlik koʻrmoq, hozirlik koʻrmoq","готовиться, настраиваться",To prepare for an activity or event that is going to happen.,/ɡɪər ʌp/,20157,phrasal,The team is gearing up for the final match of the tournament.,Jamoa turnirning final oʻyiniga tayyorgarlik koʻrmoqda.,Команда готовится к финальному матчу турнира.,"prepare, get ready, equip",wind down,gear,'Gear up' odatda 'for' predlogi bilan ishlatiladi (gear up for something).
lag behind,phrasal verb,B2,orqada qolib ketmoq,"отставать, плестись в хвосте","To move, develop, or respond more slowly than others.",/læɡ bɪˈhaɪnd/,20159,phrasal,The country is lagging behind in the adoption of renewable energy technologies.,Mamlakat qayta tiklanadigan energiya texnologiyalarini joriy etishda orqada qolmoqda.,Страна отстает в внедрении технологий возобновляемой энергетики.,"fall behind, trail, keep pace poorly","lead, lead the way","laggard, lag","'Lag behind' sur'at sekinligi tufayli orqada qolishni bildiradi, 'lag' fe'li yolg'iz o'zi kamdan-kam qo'llanadi."
catch on,phrasal verb,B2,"ommalashmoq, tushunib yetmoq","войти в моду, понять","to become popular or fashionable, or to understand something after a short time",/ˌkætʃ ˈɒn/,20161,phrasal,The new mobile application quickly caught on among university students.,Yangi mobil ilova universitet talabalari orasida tezda ommalashdi.,Новое мобильное приложение быстро вошло в моду среди студентов университета.,"become popular, grasp, understand",lose popularity,catchy,'Catch on to' biror narsani tushunib yetish ma'nosida ishlatilganda 'to' predlogi tushirib qoldirilmasligi kerak.
bank on,phrasal verb,B2,"ishonmoq, umid qilmoq","рассчитывать на, полагаться на",to rely on or expect something to happen,/ˈbæŋk ɒn/,20163,phrasal,We cannot bank on good weather for the outdoor concert tomorrow.,Ertangi ochiq havodagi konsert uchun yaxshi ob-havoga ishonib qololmaymiz.,Мы не можем рассчитывать на хорошую погоду для завтрашнего концерта на открытом воздухе.,"rely on, depend on",,bankable,'Bank on' iborasida 'on' o'rniga 'in' yoki 'to' predloglarini ishlatish xatodir.
stem from,phrasal verb,B2,"kelib chiqmoq, sababli bo'lmoq","проистекать из, быть следствием",to be caused by or develop as a result of something,/ˈstem frəm/,20165,phrasal,Most of his current health issues stem from a lack of physical exercise.,Uning hozirgi salomatlik muammolarining ko'pi jismoniy mashqlar yetishmasligidan kelib chiqqan.,Большинство его нынешних проблем со здоровьем проистекают из-за недостатка физических упражнений.,"originate from, arise from, derive from",result in,stemmed,"'Stem from' birikmasidan so'ng fe'l kelsa, unga '-ing' qo'shimchasi qo'shilishi kerak."
drop out,phrasal verb,B1,o'qishni tashlab ketmoq,"бросать учёбу, выбывать","to leave a school, college, or course before finishing it",/ˌdrɒp ˈaʊt/,20167,phrasal,He decided to drop out of university to start his own technology company.,U o'zining texnologiya kompaniyasini boshlash uchun universitetni tashlab ketishga qaror qildi.,"Он решил бросить университет, чтобы основать собственную технологическую компанию.","quit, withdraw, leave","graduate, enroll",dropout,'Drop out of' birikmasida o'quv yurti nomi berilganda 'of' predlogi tushirib qoldirilmaydi.
get away with,phrasal verb,B2,"jazosiz qolmoq, qutulib qolmoq","сойти с рук, остаться безнаказанным",to do something wrong or illegal without being punished or criticized,/ɡet əˈweɪ wɪð/,20169,phrasal,You cannot expect to cheat in the exam and get away with it.,"Imtihonda g'irromlik qilib, jazosiz qolaman deb o'ylamang.",Не надейтесь списать на экзамене и остаться безнаказанным.,"escape punishment, evade consequence","get caught, pay for",,"'Get away with'dan so'ng fe'l kelsa, u fe'l gerundiy (-ing) shaklida bo'lishi shart."
clear up,phrasal verb,B1,"ochilib ketmoq, hal qilmoq","проясняться, разрешать","to become fine after rain, or to solve a problem or misunderstanding",/ˌklɪər ˈʌp/,20171,phrasal,We can go for a walk once the rain clears up.,"Yomg'ir yog'ishi to'xtab, havo ochilib ketsa, aylanishga chiqishimiz mumkin.","Мы сможем пойти на прогулку, как только дождь прекратится и прояснится.","brighten, solve, resolve",worsen,"clear, clearance",'Clear up' ob-havo ochiqlashishi ma'nosida majhul nisbatda (passive voice) ishlatilmaydi.
think over,phrasal verb,B1,chuqur o'ylab ko'rmoq,"обдумывать, взвешивать",to consider something carefully before making a final decision,/ˌθɪŋk ˈəʊvə/,20173,phrasal,I need a few days to think over your job offer before giving an answer.,Javob berishdan oldin ish taklifingizni bir necha kun chuqur o'ylab ko'rishim kerak.,"Мне нужно несколько дней, чтобы обдумать ваше предложение о работе, прежде чем дать ответ.","consider, ponder, deliberate",disregard,thoughtful,"Olmoshlar (it, them) ishlatilganda, ular 'think' va 'over' o'rtasida kelishi kerak: 'think it over'."
talk into,phrasal verb,B2,"ko'ndirmoq, ko'nglini olmoq","уговорить, убедить",to persuade someone to do something,/ˌtɔːk ˈɪntə/,20175,phrasal,Her friends managed to talk her into going to the party.,Do'stlari uni ziyofatga borishga ko'ndirishga muvaffaq bo'lishdi.,Её друзьям удалось уговорить её пойти на вечеринку.,"persuade, convince","talk out of, dissuade",,'Talk into' birikmasidan so'ng keladigan fe'l '-ing' shaklida bo'lishi shart ('talk into doing').
chip in,phrasal verb,B2,"pullanishib bermoq, hissa qo'shmoq","сбрасываться, скидываться",to contribute money or help toward a shared goal or purchase,/ˌtʃɪp ˈɪn/,20177,phrasal,"If everyone chips in ten dollars, we can buy a nice present for the teacher.","Agar har kim o'n dollardan pul tashlasa, o'qituvchiga yaxshi sovg'a sotib olishimiz mumkin.","Если каждый скинется по десять долларов, мы сможем купить хороший подарок учителю.","contribute, donate, pitch in",withhold,,'Chip in' pul yig'ish jarayonida ko'pincha predlogsiz yoki 'with' bilan ishlatiladi; 'chip to' deb ishlatish xatodir.
set in,phrasal verb,B2,boshlanib davom etmoq,"наступать, устанавливаться","to begin and seem likely to continue, especially regarding bad weather or winter",/ˌset ˈɪn/,20179,phrasal,"The winter cold set in early this year, bringing heavy snow.","Bu yil qishki sovuq erta boshlanib, qalin qor olib keldi.","В этом году зимние холода начались рано, принеся с собой сильный снег.","commence, start, take hold","cease, pass",,"'Set in' odatda ob-havo, kasallik yoki yoqimsiz holatlarga nisbatan qo'llaniladi."
back down,phrasal verb,B2,"yon bermoq, fikridan qaytmoq","отступать, уступать",to admit that you were wrong or to stop demanding something during an argument,/ˌbæk ˈdaʊn/,20181,phrasal,Neither side was willing to back down during the negotiations.,Muzokaralar davomida hech bir tomon yon berishni xohlamadi.,Ни одна из сторон не была готова уступить во время переговоров.,"yield, concede, retreat","insist, persist",,'Back down' fe'lidan so'ng to'ldiruvchi to'g'ridan-to'g me'yorda kelmaydi; u o'zliksiz hosil bo'ladi.
warm up,phrasal verb,A2,"chigʻilyozdi qilmoq, qizdirib olmoq","разминаться, разогревать",to prepare for physical activity by exercising gently first,/ˌwɔːm ˈʌp/,20183,phrasal,It is important to warm up before running to avoid injuries.,Jarohatlarning oldini olish uchun yugurishdan oldin chig'ilyozdi qilish muhimdir.,"Важно размяться перед бегом, чтобы избежать травм.","limber up, prepare",cool down,warm-up,"'Warm up' mashqdan oldingi qizdirishga, 'cool down' esa mashqdan keyingi mashqlarga nisbatan ishlatiladi."
abide by,phrasal verb,B2,"boʻysunmoq, rioya qilmoq","соблюдать, придерживаться","to accept or obey a rule, law, agreement, or decision",/əˈbaɪd baɪ/,20185,phrasal,All players must abide by the rules of the tournament.,Barcha oʻyinchilar turnir qoidalariga rioya qilishlari shart.,Все игроки должны соблюдать правила турнира.,"comply with, obey, adhere to","violate, disobey",abiding,'Abide with' deb ishlatish xatodir; qoidalar yoki qarorlarga rioya qilish uchun 'abide by' iborasi qoʻllaniladi.
account for,phrasal verb,B2,"tushuntirib bermoq, hisobiga toʻgʻri kelmoq","объяснять, составлять какую-либо долю",to explain the reason for something or form a specified amount or proportion of something,/əˈkaʊnt fɔː/,20187,phrasal,E-books account for roughly thirty percent of total book sales.,Elektron kitoblar jami kitob sotuvining taxminan oʻttiz foizini tashkil qiladi.,Электронные книги составляют примерно тридцать процентов от общих продаж книг.,"explain, make up, constitute",,"account, accountable",'Account to' bilan adashtirmang; miqdor yoki sababni koʻrsatishda 'account for' ishlatiladi.
ask around,phrasal verb,B1,atrofdagilardan surishtirmoq,"расспрашивать людей, узнавать у окружающих",to ask several people for information or help regarding something,/ɑːsk əˈraʊnd/,20189,phrasal,"I asked around, but nobody knew where the old station was.","Men atrofdagilardan surishtirdim, lekin hech kim eski vokzal qayerdaligini bilmas edi.","Я расспросил людей вокруг, но никто не знал, где находится старый вокзал.","inquire, ask about",,,'Ask around somebody' deyish xatodir; iboradan soʻng toʻldiruvchi (obyekt) ishlatilmaydi.
bring forward,phrasal verb,B2,oldinroq muddatga koʻchirmoq,переносить на более ранний срок,to change the date or time of an event so that it happens earlier than expected,/brɪŋ ˈfɔːwəd/,20191,phrasal,The meeting has been brought forward to ten o'clock tomorrow morning.,Uchrashuv ertaga ertalab soat oʻnga koʻchirildi.,Встречу перенесли на десять часов утра завтрашнего дня.,"advance, move up","postpone, put off",,"Ushbu iborani voqeani keyinroqqa surish ma'nosida ishlatmang, u vaqtni ertaroqqa koʻchirishni bildiradi."
build up,phrasal verb,B1,"oshirmoq, rivojlantirmoq, toʻplamoq","развивать, накапливать, укреплять","to increase, strengthen, or accumulate something over time",/bɪld ʌp/,20193,phrasal,She took evening classes to build up her confidence in speaking English.,U ingliz tilida gapirishdagi ishonchini oshirish uchun kechki kurslarga qatnashdi.,"Она ходила на вечерние курсы, чтобы укреплять уверенность в английской речи.","boost, develop, strengthen","weaken, diminish",buildup,"Ot shakli 'buildup' birga yoziladi, lekin fe'l birikmasi 'build up' koʻrinishida ajratib yoziladi."
call by,phrasal verb,B2,yoʻl-yoʻlakay kirib oʻtmoq,"зайти, заглянуть мимоходом","to make a brief, informal visit to a person or place while going somewhere else",/kɔːl baɪ/,20195,phrasal,I will call by on my way home from work to deliver the files.,"Ishdan uyga qaytayotib, hujjatlarni berish uchun yoʻl-yoʻlakay kirib oʻtaman.","Я загляну по дороге домой с работы, чтобы передать документы.","drop by, pop in, call in",,,"'Call by' rasmiy tashrif emas, balki qisqa va yoʻl-yoʻlakay boʻlgan uchrashuvlarga nisbatan qoʻllaniladi."
catch out,phrasal verb,B2,"kutilmaganda qiyin ahvolga solmoq, xatosini tutib olmoq","застать врасплох, уличить во лжи","to place someone in an unexpected, difficult situation or to discover that they made a mistake",/kætʃ aʊt/,20197,phrasal,The sudden change in the weather caught us out without umbrellas.,Ob-havoning toʻsatdan oʻzgarishi bizni soyabonsiz kutilmagan qiyin ahvolga solib qoʻydi.,Внезапная перемена погоды застала нас врасплох без зонтов.,"catch unawares, surprise, trap",,,"Majhul nisbatda tez-tez 'be caught out' shaklida ishlatiladi, soʻzma-soʻz 'ushlab olmoq' deb tarjima qilmang."
close down,phrasal verb,B1,butunlay yopilmoq (faoliyatini toʻxtatmoq),"закрываться, прекращать работу (о предприятии)",to stop operating or doing business permanently or for a lengthy period,/kləʊz daʊn/,20199,phrasal,The local bakery had to close down due to rising fuel costs.,Mahalliy novvoyxona yoqilgʻi narxi oshgani sababli yopilishiga toʻgʻri keldi.,Местной пекарне пришлось закрыться из-за роста цен на топливо.,"shut down, cease operating","open up, start up",closedown,Eshik yoki derazani yopish bilan adashtirmang; 'close down' korxona yoki biznesning faoliyatini toʻxtatishiga aytiladi.
come in for,phrasal verb,C1,tanqid yoki e'tirozga duchor boʻlmoq,"подвергаться (критике, порицанию)","to receive or be subjected to something unpleasant, especially criticism or blame",/kʌm ɪn fɔː/,20201,phrasal,The government's new policy came in for severe criticism from the public.,Hukumatning yangi siyosati jamoatchilik tomonidan keskin tanqidga duchor boʻldi.,Новая политика правительства подверглась суровой критике со стороны общественности.,"receive, encounter, face",,,'Come in for' iborasidan keyin 'criticism' yoki 'blame' kabi otlar keladi; kelóshiklarni (prepositions) tushirib qoldirmang.
do up,phrasal verb,B1,"ta'mirlamoq, bogʻlamoq, tugmalamoq","ремонтировать, застегивать","to repair and decorate a building or vehicle, or to fasten a piece of clothing",/duː ʌp/,20203,phrasal,They bought an old cottage in the countryside and spent months doing it up.,Ular qishloqdagi eski kottejni sotib olishdi va uni ta'mirlashga oylar sarflashdi.,Они купили старый коттедж в деревне и потратили месяцы на его ремонт.,"renovate, decorate, fasten","undo, unfasten",,"Kiyim tugmasini taqishda va bino ta'mirlashda ishlatiladi, lekin oddiy 'ta'mirlamoq' (repair) oʻrnida har doim ham toʻgʻri kelavermaydi."
draw on,phrasal verb,B2,tajriba yoki manbadan foydalanmoq,"использовать, опираться на (опыт, знания)","to use information, experience, knowledge, or resources to help achieve something",/drɔː ɒn/,20205,phrasal,"In her essay, she drew on her personal experiences as a teacher.",U oʻz inshosida oʻqituvchilik shaxsiy tajribasiga tayandi.,В своем эссе она опиралась на личный опыт работы учителем.,"use, employ, rely on",,,Rasm chizish ('draw') bilan adashtirmang; ibora sifatida 'manbaga tayanmoq' yoki 'foydalanmoq' degani.
ease off,phrasal verb,B2,"susaymoq, pasaymoq","ослабевать, уменьшаться","to become less intense, severe, or forceful",/iːz ɒf/,20207,phrasal,"As the heavy rain began to ease off, we decided to continue our journey.","Kuchli yomgʻir susaya boshlagach, biz yoʻlimizni davom ettirishga qaror qildik.","Когда сильный дождь начал ослабевать, мы решили продолжить путь.","moderate, abate, lessen","intensify, worsen",ease,"Ob-havo, ogʻriq yoki bosim pasayishi uchun 'ease off' birikmasi qoʻllaniladi."
bear out,phrasal verb,C1,"tasdiqlamoq, isbotlamoq","подтверждать, доказывать","to support or confirm a statement, theory, or belief",/beər aʊt/,20209,phrasal,The results of the second experiment bear out our original hypothesis.,Ikkinchi tajriba natijalari bizning dastlabki gipotezamizni tasdiqlaydi.,Результаты второго эксперимента подтверждают нашу первоначальную гипотезу.,"confirm, corroborate, verify","refute, contradict","bear out, borne out",Ushbu iborada 'bear' fe'lining o'tgan zamon shakli 'bore out' va sifatdosh shakli 'borne out' ekanligini unutmaslik kerak.
buckle down,phrasal verb,B2,"ishga jiddiy kirishmoq, g'ayrat bilan kirishmoq","серьезно взяться за работу, усердно работать",to start working hard and seriously on something,/ˈbʌk.əl daʊn/,20211,phrasal,"If you want to pass the exam, you need to buckle down and study every evening.","Agar imtihondan o'tmoqchi bo'lsangiz, jiddiy kirishib, har kuni kechqurun shug'ullanishingiz kerak.","Если вы хотите сдать экзамен, вам нужно серьезно взяться за учебу и заниматься каждый вечер.","knuckle down, apply oneself, concentrate","slack off, procrastinate",buckle down,'Buckle' so'zidan keyin har doim 'down' ko'makchisi keladi; 'buckle up' esa xavfsizlik kamarini taqishni anglatadi.
clamp down on,phrasal verb,B2,"qat'iy choralar ko'rmoq, cheklov qo'ymoq","принимать строгие меры, подавлять",to take strict or urgent action to stop or limit an illegal or unwanted activity,/klæmp daʊn ɒn/,20213,phrasal,The government plans to clamp down on tax evasion this year.,Hukumat bu yil soliq to'lashdan bo'yin tovlashga qarshi qat'iy choralar ko'rishni rejalashtirmoqda.,В этом году правительство планирует принять строгие меры против уклонения от уплаты налогов.,"crack down on, suppress, restrict","permit, tolerate","clamp down, clampdown",Ushbu iborada obyekt oldidan 'on' predlogi ishlatilishi shart.
drive at,phrasal verb,B2,"shama qilmoq, nimani nazarda tutmoq","клонить к чему-либо, намекать","to try to say or imply something, usually used in continuous forms",/draɪv æt/,20215,phrasal,I do not quite understand what you are driving at.,Men nimani nazarda tutayotganingizni unchalik tushunmayapman.,"Я не совсем понимаю, к чему вы клоните.","imply, hint at, suggest",,driving at,Odatda davomli zamonlarda (Continuous) 'What are you driving at?' shaklida qo'llaniladi.
frown upon,phrasal verb,B2,"yoqtirmaslik, ma'qullamaslik","не одобрять, относиться неодобрительно",to disapprove of something or view it with displeasure,/fraʊn əˈpɒn/,20217,phrasal,Using personal phones during working hours is frowned upon in this office.,Ushbu idorada ish vaqtida shaxsiy telefonlardan foydalanish ma'qullanmaydi.,В этом офисе не одобряется использование личных телефонов в рабочее время.,"disapprove of, discourage, discountenance","approve of, encourage","frown upon, frown on",Odatda majhul nisbatda (Passive Voice) 'is frowned upon' ko'rinishida ko'proq ishlatiladi.
muddle through,phrasal verb,B2,"epalamoq, qiyinchilik bilan bajarmoq","кое-как справиться, довести дело до конца",to succeed in doing something or dealing with a situation despite a lack of organization or preparation,/ˈmʌd.əl θruː/,20219,phrasal,"Although we did not have a clear plan, we managed to muddle through the crisis.","Aniq rejamiz bo'lmasada, inqirozni bir ilojini qilib epalab o'tdik.","Хотя у нас не было четкого плана, нам удалось кое-как справиться с кризисом.","cope, manage, scrape through",,muddle through,"Ushbu ibora puxta reja emas, balki tavakkal yoki vaziyatga qarab ish tutishni anglatadi."
play down,phrasal verb,B2,"muhim emasdek ko'rsatmoq, ahamiyatini kamaytirmoq","принижать значение, преуменьшать","to try to make something seem less important, serious, or harmful than it really is",/pleɪ daʊn/,20221,phrasal,The company tried to play down the serious extent of the financial losses.,Kompaniya moliyaviy yo'qotishlarning jiddiy darajasini kamaytirib ko'rsatishga urindi.,Компания пыталась преуменьшить степень серьезности финансовых потерь.,"downplay, minimize, soft-pedal","exaggerate, emphasize, highlight",play down,"'Play down' va 'downplay' sinonimlar bo'lib, 'play down' fe'li bo'laklarga ajralishi mumkin (masalan, play the issue down)."
single out,phrasal verb,B2,"ajratib ko'rsatmoq, tanlab olmoq","выделять, выбирать","to choose one person or thing from a group for special attention, praise, or criticism",/ˈsɪŋ.ɡəl aʊt/,20223,phrasal,It is unfair to single out one employee for a mistake made by the entire team.,Butun jamoa yo'l qo'ygan xato uchun birgina xodimni ajratib ko'rsatish nohaqlikdir.,"Несправедливо выделять одного сотрудника за ошибку, допущенную всей командой.","select, highlight, pinpoint","ignore, overlook",single out,"'Single out' biror kishini ham maqtov, ham tanqid uchun boshqalardan ajratishda ishlatilishi mumkin."
size up,phrasal verb,B2,"baholamoq, ko'zdan kechirmoq","оценивать, составлять мнение",to examine or assess a person or situation in order to form a judgment,/saɪz ʌp/,20225,phrasal,The experienced manager quickly sized up the candidate during the interview.,Tajribali menejer suhbat davomida nomzodni tezda baholab oldi.,Опытный менеджер быстро оценил кандидата во время собеседования.,"assess, evaluate, judge",,size up,"'Size up' iborasi obyekt oladi va ajratilishi mumkin (masalan, size someone up)."
smooth over,phrasal verb,B2,"silliqlamoq, yumshatmoq","сглаживать, улаживать","to make a problem, disagreement, or difficulty seem less serious or easier to manage",/smuːð ˈəʊ.vər/,20227,phrasal,She tried to smooth over the disagreement between her colleagues before the meeting.,U uchrashuv oldidan hamkasblari o'rtasidagi kelishmovchilikni silliqlashga harakat qildi.,Она попыталась сгладить разногласия между коллегами перед собранием.,"reconcile, ease, patch up","aggravate, inflame",smooth over,"'Smooth' bu yerda fe'l bo'lib keladi va sirtni emas, balki mojarolarni yumshatishni bildiradi."
stand down,phrasal verb,B2,"lavozimidan ketmoq, o'rnini bo'shatmoq","уходить в отставку, снимать свою кандидатуру",to leave an official position or job so that someone else can take it,/stænd daʊn/,20229,phrasal,The chairman decided to stand down after ten years of leadership.,Rais o'n yillik rahbarlikdan so'ng lavozimidan ketishga qaror qildi.,Председатель решил уйти в отставку после десяти лет руководства.,"resign, step down, retire","take office, assume power",stand down,"'Step down' bilan bir xil ma'noni beradi, ammo rasmiy vaziyatlarda ko'proq 'stand down' ishlatiladi."
zero in on,phrasal verb,B2,"diqqatni qaratmoq, diqqat-e'tiborni jamlamoq","сосредотачивать внимание на, сфокусироваться","to direct all your attention or effort towards a particular topic, problem, or goal",/ˈzɪə.rəʊ ɪn ɒn/,20231,phrasal,The researchers need to zero in on the main cause of the problem.,Tadqiqotchilar muammoning asosiy sababiga diqqat-e'tiborini qaratishlari kerak.,Исследователям необходимо сосредоточить внимание на основной причине проблемы.,"focus on, pinpoint, target","divert from, ignore",zero in on,"Iborada ham 'in', ham 'on' predloglari birgalikda ishlatilishi shart."
pass on,phrasal verb,B1,"uzatmoq, o'tkazmoq","передавать, пересылать","To give something to another person, especially after receiving it yourself or after using it.",/pɑːs ɒn/,20233,phrasal,Please read the memo and pass it on to your colleagues.,"Iltimos, ushbu xatni o'qib chiqing va uni hamkasblaringizga uzating.","Пожалуйста, прочтите эту записку и передайте её своим коллегам.","hand over, pass along, transfer","keep, retain","pass on, passed on, passing on",Uzbek speakers often use 'give' instead of 'pass on' when referring to transferring information or objects down a chain of people.
take down,phrasal verb,B1,"yozib olmoq, qayd etmoq","записывать, конспектировать",To write down information that someone is saying.,/teɪk daʊn/,20235,phrasal,The secretary took down all the key details during the meeting.,Kotib uchrashuv davomida barcha muhim tafsilotlarni yozib oldi.,Секретарь записала все ключевые детали во время встречи.,"write down, note down, record",,"take down, took down, taken down","Do not confuse 'take down' with 'take off', which means to remove clothing or for an aircraft to depart."
break into,phrasal verb,B1,"bostirib kirmoq, g'ayriqonuniy kirmoq","взламывать, проникать с взломом","To enter a building or vehicle by force, usually to steal something.",/breɪk ˈɪntə/,20237,phrasal,Someone tried to break into the office during the night.,Tunda kimdir idoraga bostirib kirishga urindi.,Ночью кто-то попытался вломиться в офис.,"burgle, force entry into",,"break into, broke into, broken into, break-in","'Break into' is a transitive phrasal verb that takes its object directly without extra prepositions like 'in' (e.g. 'break into the house', not 'break into in the house')."
bring back,phrasal verb,B1,"qaytarib olib kelmoq, xotiraga keltirmoq","возвращать, напоминать","To return with something, or to make someone remember something from the past.",/brɪŋ bæk/,20239,phrasal,This old song brings back so many happy memories of my childhood.,Ushbu eski qo'shiq bolaligimdagi ko'plab baxtli xotirlarni yodga soladi.,Эта старая песня навевает столько счастливых воспоминаний о моём детстве.,"return, restore, recall",,"bring back, brought back, bringing back","'Bring back' implies returning something towards the current location or speaker, whereas 'take back' implies moving it away to its origin."
put together,phrasal verb,B1,"yig'moq, qurashtirmoq","собирать, монтировать",To assemble the parts of something in order to build or make it.,/pʊt təˈɡɛðə/,20241,phrasal,It took us nearly two hours to put the new bookcase together.,Yangi kitob javonini yig'ishimiz uchun deyarli ikki soat vaqt ketdi.,"У нас ушло почти два часа, чтобы собрать новый книжный шкаф.","assemble, construct, build","take apart, disassemble","put together, putting together","Learners sometimes confuse 'put together' with 'collect', which means gathering separate items rather than assembling components into one object."
turn back,phrasal verb,A2,"ortga qaytmoq, qaytarmoq","поворачивать назад, возвращаться","To return in the direction you came from, or to make someone do this.",/tɜːn bæk/,20243,phrasal,The weather became so bad that the climbers had to turn back.,"Ob-havo shunchalik yomonlashdiki, alpinistlar ortga qaytishga majbur bo'lishdi.","Погода настолько ухудшилась, что альпинистам пришлось повернуть назад.","return, retreat, retrace one's steps","advance, proceed","turn back, turned back, turning back",Do not use 'turn back' when you simply mean turning your body or head around; use 'turn round' or 'turn around' instead.
keep out,phrasal verb,B1,"kiritmaslik, yaqinlashtirmaslik","не допускать, не входить",To stop someone or something from entering a place.,/kiːp aʊt/,20245,phrasal,The sign on the fence said 'Keep Out - Private Property'.,Devordagi belgilarda 'Kirish taqiqlanadi - xususiy mulk' deb yozilgan edi.,На заборе была надпись «Вход воспрещён — частная собственность».,"bar, exclude, keep off","admit, let in","keep out, kept out, keeping out","On warning signs, 'keep out' is used as an imperative without an object, but when used transitively, an object must be inserted between 'keep' and 'out' (e.g. 'keep them out')."
hold out,phrasal verb,B2,"uzatmoq, chidamoq","протягивать, продерживаться","To extend something towards someone, or to manage to survive or continue in a difficult situation.",/həʊld aʊt/,20247,phrasal,She held out her hand to greet the visitor.,U mehmonga salomlashish uchun qo'lini uzatdi.,"Она протянула руку, чтобы поприветствовать гостя.","extend, offer, resist","withdraw, give up","hold out, held out, holding out","Do not confuse 'hold out' with 'hold on', which means to wait for a short period of time."
fade away,phrasal verb,B2,"sekin-asta yo'qolmoq, sönmoq","угасать, постепенно исчезать","To slowly disappear, become quieter, or lose strength over time.",/feɪd əˈweɪ/,20249,phrasal,The sound of the music slowly faded away into the distance.,"Musiqa ovozi uzoqlashib, sekin-asta yo'qolib bordi.",Звук музыки медленно угас вдали.,"vanish, dissipate, dissolve","appear, intensify","fade away, faded away, fading away",'Fade away' is an intransitive phrasal verb and cannot take a direct object.
come forward,phrasal verb,B2,"oldinda chiqmoq, tashabbus ko'rsatmoq","выходить вперед, откликаться, предлагать помощь","To offer help, information, or evidence to assist with a situation or investigation.",/kʌm ˈfɔːwəd/,20251,phrasal,Police are asking any witnesses of the accident to come forward.,Polisiya hodisa guvohlarini ma'lumot berish uchun oldinga chiqishga chaqirmoqda.,Полиция просит всех свидетелей происшествия откликнуться и дать показания.,"step forward, volunteer, present oneself","withhold, stay back","come forward, came forward, coming forward",'Come forward' is intransitive; do not attach a direct object like 'come forward information'.
block out,phrasal verb,B2,"to'smoq, miyadan chiqarib tashlamoq","блокировать, заслонять, заглушать","To stop light, sound, or unpleasant memories from reaching you or coming into your mind.",/blɒk aʊt/,20253,phrasal,Heavy curtains were used to block out the street light.,Ko'cha chirog'ini to'sh uchun qalin pardalardan foydalanildi.,"Плотные шторы использовались, чтобы заслонить свет уличных фонарей.","shut out, screen out, mask","let in, reveal","block out, blocked out, blocking out","Using 'block' without 'out' generally refers to physically obstructing a path, whereas 'block out' specifically refers to screening out light, noise, or painful thoughts."
pull down,phrasal verb,B1,"buzib tashlamoq, yer bilan yakson qilmoq","сносить, разрушать",To destroy or demolish a building or structure.,/pʊl daʊn/,20255,phrasal,The old factory was pulled down to make room for new houses.,Yangi uylar qurish uchun eski fabrika buzib tashlandi.,"Старую фабрику снесли, чтобы освободить место для новых домов.","demolish, knock down","put up, build, construct","pull down, pulled down, pulling down","Do not confuse 'pull down' with 'pull off', which means to succeed in doing something difficult or to detach something."
