headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,example_ru,synonyms,antonyms
construe,verb,C2,talqin qilmoq,истолковывать,to understand or interpret meaning,kənˈstruː,,advanced,Do not construe silence as agreement.,Sukutni rozilik deb talqin qilmang.,,interpret | understand,misread | ignore
contiguous,adjective,C2,yonma-yon,смежный,touching or next to something,kənˈtɪɡjuəs,,advanced,The company bought contiguous land.,Kompaniya yonma yon yer sotib oldi.,,adjacent | neighbouring,separate | distant
contrition,noun,C2,chin pushaymonlik,раскаяние,deep regret for wrongdoing,kənˈtrɪʃən,,advanced,His contrition seemed sincere.,Uning chin pushaymonligi samimiy ko‘rindi.,,remorse | repentance,defiance | pride
coquette,noun,C2,noz-karashma qiluvchi ayol,кокетка,a woman who flirts playfully,kɒˈket,,advanced,The coquette smiled across the room.,Noz karashma qiluvchi ayol xona narisidan tabassum qildi.,,flirt | tease,prude | recluse
curmudgeon,noun,C2,jizzaki odam,брюзга,a bad-tempered person,kəˈmʌdʒən,,advanced,The curmudgeon complained about every noise.,Jizzaki qariya har bir shovqindan nolidi.,,grumbler | grouch,optimist | charmer
decamp,verb,C2,tez ketib qolmoq,сбежать,to leave suddenly and secretly,dɪˈkæmp,,advanced,The guests decided to decamp before dawn.,Mehmonlar tongdan oldin tez ketib qolishga qaror qildi.,,flee | depart,stay | remain
decorum,noun,C2,odob,приличие,proper polite behaviour,dɪˈkɔːrəm,,advanced,The ceremony required strict decorum.,Marosim qat’iy odobni talab qildi.,,propriety | dignity,rudeness | chaos
deft,adjective,C1,epchil,ловкий,skilful and quick,deft,,advanced,Her deft handling of data impressed us.,Uning ma’lumotni epchil boshqarishi bizni qoyil qoldirdi.,,skilful | nimble,clumsy | awkward
deluge,noun,C1,sel; juda katta oqim,поток,a sudden and very large amount of something,ˈdeljuːdʒ,,advanced,The office received a deluge of emails.,Ofis juda ko‘p miqdordagi email oqimini oldi.,,flood | torrent,trickle | shortage
demotic,adjective,C2,oddiy xalq tilidagi,народный,used by ordinary people,dɪˈmɒtɪk,,advanced,The writer preferred demotic language.,Yozuvchi oddiy xalq tilidagi uslubni afzal ko‘rdi.,,popular | vernacular,elite | formal
deprecate,verb,C2,qoralamoq,осуждать,to express disapproval of something,ˈdeprəkeɪt,,advanced,Experts deprecate careless data use.,Mutaxassislar ma’lumotdan beparvo foydalanishni qoralaydi.,,disapprove | criticise,praise | endorse
derogate,verb,C2,qadrini pasaytirmoq,умалять,to reduce value or dignity,ˈderəɡeɪt,,advanced,Do not derogate the work of volunteers.,Ko‘ngillilar mehnatini kamsitmang.,,belittle | diminish,honour | elevate
desideratum,noun,C2,juda kerakli yoki istalgan narsa,необходимое условие,something that is greatly needed or wanted,dɪˌzɪdəˈrɑːtəm,,advanced,Transparency is a desideratum in reform.,Shaffoflik islohotda zarur narsadir.,,requirement | necessity,extra | luxury
deterrent,noun,C1,to‘xtatuvchi omil,сдерживающий фактор,something that discourages action,dɪˈterənt,,advanced,High fines act as a deterrent.,Katta jarimalar to‘xtatuvchi omil bo‘lib xizmat qiladi.,,discouragement | obstacle,incentive | attraction
diaphanous,adjective,C2,juda yupqa va shaffof,прозрачный,light and almost transparent,daɪˈæfənəs,,advanced,She wore a diaphanous scarf.,U juda yupqa va shaffof sharf taqdi.,,sheer | translucent,opaque | thick
diffident,adjective,C2,o‘ziga ishonchi past,застенчивый,shy and lacking confidence,ˈdɪfɪdənt,,advanced,The diffident student spoke softly.,O‘ziga ishonchi past talaba sekin gapirdi.,,shy | timid,confident | bold
dilettante,noun,C2,havaskor yuzaki odam,дилетант,a person with a superficial interest,dɪləˈtænti,,advanced,He sounded like a dilettante in economics.,U iqtisodda havaskor yuzaki odamdek eshitildi.,,amateur | dabbler,expert | professional
dirge,noun,C2,motam qo‘shig‘i,погребальная песнь,a slow sad song,dɜːdʒ,,advanced,The choir sang a dirge at the memorial.,Xor xotira marosimida motam qo‘shig‘i aytdi.,,lament | elegy,anthem | celebration
discomfit,verb,C2,uyaltirib noqulay ahvolga solmoq,смущать,to embarrass or confuse someone,dɪsˈkʌmfɪt,,advanced,The question seemed to discomfit him.,Savol uni noqulay ahvolga solgandek ko‘rindi.,,embarrass | unsettle,comfort | reassure
disconsolate,adjective,C2,taskin topmas g‘amgin,безутешный,extremely sad and unable to be comforted,dɪsˈkɒnsələt,,advanced,She looked disconsolate after the loss.,Mag‘lubiyatdan keyin u taskin topmas g‘amgin ko‘rindi.,,heartbroken | miserable,cheerful | comforted
discursive,adjective,C2,mavzudan mavzuga o‘tuvchi,беспорядочный,moving from one topic to another,dɪsˈkɜːsɪv,,advanced,His discursive lecture confused students.,Uning mavzudan mavzuga o‘tadigan ma’ruzasi talabalarni chalg‘itdi.,,rambling | wandering,focused | concise
disinterested,adjective,C1,beg‘araz,беспристрастный,not influenced by personal gain,dɪsˈɪntrəstɪd,,advanced,A judge must be disinterested.,Sudya beg‘araz bo‘lishi kerak.,,impartial | neutral,biased | selfish
disquiet,noun,C2,bezovtalik,тревога,a feeling of worry,dɪsˈkwaɪət,,advanced,The announcement caused public disquiet.,E’lon jamoatchilikda bezovtalik keltirdi.,,anxiety | unease,calm | comfort
distend,verb,C2,shishib kengaytirmoq,раздувать,to swell or stretch outward,dɪˈstend,,advanced,Gas can distend the stomach.,Gaz oshqozonni shishirishi mumkin.,,swell | expand,shrink | contract
dithyramb,noun,C2,jo‘shqin maqtov nutqi,восторженная речь,a wildly enthusiastic speech or poem,ˈdɪθɪræm,,advanced,The review became a dithyramb for the actor.,Sharh aktyor uchun jo‘shqin maqtov nutqiga aylandi.,,panegyric | praise,criticism | attack
doctrinaire,adjective,C2,nazariyaga ko‘r-ko‘rona yopishgan,доктринерский,rigidly following theory,ˌdɒktrɪˈneə,,advanced,His doctrinaire approach ignored reality.,Uning qotib qolgan nazariy yondashuvi haqiqatni e’tiborsiz qoldirdi.,,rigid | dogmatic,practical | flexible
doggerel,noun,C2,saviyasi past she’r,плохие стихи,badly written poetry,ˈdɒɡərəl,,advanced,The leaflet was full of doggerel.,Varaqcha qo‘pol she’rlar bilan to‘la edi.,,bad verse | rhyme,poetry | art
droll,adjective,C2,kulgili g‘alati,забавный,amusing in an unusual way,drəʊl,,advanced,He told a droll story about school.,U maktab haqida kulgili g‘alati hikoya aytdi.,,witty | amusing,dull | serious
dulcet,adjective,C2,yoqimli mayin,сладкозвучный,sweet and pleasant to hear,ˈdʌlsɪt,,advanced,Her dulcet voice calmed the audience.,Uning yoqimli mayin ovozi tinglovchilarni tinchlantirdi.,,melodious | sweet,harsh | grating
ebullient,adjective,C2,jo‘shqin quvnoq,кипучий,full of energy and happiness,ɪˈbʌliənt,,advanced,The ebullient host welcomed everyone.,Jo‘shqin quvnoq mezbon hammaga xush kelibsiz dedi.,,exuberant | lively,gloomy | subdued
ecumenical,adjective,C2,keng qamrovli diniy,экуменический,involving many Christian churches,ˌiːkjʊˈmenɪkəl,,advanced,They held an ecumenical service.,Ular keng qamrovli diniy marosim o‘tkazdi.,,interchurch | universal,narrow | sectarian
effete,adjective,C2,kuchsiz va tanazzulga yuz tutgan,изнеженный,weak or lacking vitality,ɪˈfiːt,,advanced,The critics called the regime effete.,Tanqidchilar rejimni zaiflashgan deb atadi.,,weak | decadent,strong | vigorous
elegiac,adjective,C2,motamsaro,элегический,sad and mournful,ˌelɪˈdʒaɪək,,advanced,The film has an elegiac tone.,Film motamsaro ohangga ega.,,mournful | sorrowful,joyful | cheerful
elide,verb,C2,tushirib qoldirmoq,опускать,to omit something in speech or writing,ɪˈlaɪd,,advanced,The report may elide key facts.,Hisobot muhim faktlarni tushirib qoldirishi mumkin.,,omit | skip,include | state
enjoin,verb,C2,qat’iy buyurmoq,предписывать,to order someone to do something,ɪnˈdʒɔɪn,,advanced,The court can enjoin the company to stop.,Sud kompaniyaga to‘xtashni buyurishi mumkin.,,order | command,allow | permit
entreat,verb,C2,yalinib so‘ramoq,умолять,to ask earnestly or anxiously,ɪnˈtriːt,,advanced,They entreat officials for help.,Ular amaldorlardan yalinib yordam so‘raydi.,,implore | beg,command | refuse
epigram,noun,C2,qisqa kinoyali gap,эпиграмма,a short clever saying,ˈepɪɡræm,,advanced,The article ended with a sharp epigram.,Maqola qisqa kinoyali gap bilan tugadi.,,witticism | saying,ramble | prose
epitaph,noun,C2,qabr yozuvi,эпитафия,words written on a grave,ˈepɪtɑːf,,advanced,The epitaph praised her courage.,Qabr yozuvi uning jasoratini madh etdi.,,inscription | memorial,speech | greeting
epithet,noun,C2,tavsiflovchi nom yoki laqab,эпитет,a descriptive word or phrase,ˈepɪθet,,advanced,The king earned the epithet brave.,Qirol jasur degan tavsiflovchi laqab oldi.,,label | description,name | anonymity
evanescent,adjective,C2,tez yo‘qoladigan,мимолетный,lasting only a short time,ˌiːvəˈnesnt,,advanced,Fame can be evanescent online.,Internetdagi shuhrat tez yo‘qoladigan bo‘lishi mumkin.,,fleeting | transient,lasting | permanent
exacting,adjective,C2,juda talabchan,требовательный,requiring great effort and care,ɪɡˈzæktɪŋ,,advanced,The exacting course improved her discipline.,Juda talabchan kurs uning intizomini oshirdi.,,demanding | strict,easy | lenient
excoriate,verb,C2,qattiq tanqid qilmoq,резко критиковать,to criticise very strongly,ɪkˈskɔːrieɪt,,advanced,Reviewers excoriate the weak script.,Sharhlovchilar zaif ssenariyni qattiq tanqid qiladi.,,condemn | denounce,praise | applaud
exiguous,adjective,C2,nihoyatda oz,скудный,very small in amount,ɪɡˈzɪɡjʊəs,,advanced,They survived on exiguous supplies.,Ular juda oz zaxira bilan yashab qoldi.,,meagre | scant,plentiful | ample
exonerate,verb,C2,oqlamoq,оправдать,to clear someone from blame,ɪɡˈzɒnəreɪt,,advanced,New evidence may exonerate the driver.,Yangi dalil haydovchini oqlashi mumkin.,,clear | acquit,blame | convict
extemporaneous,adjective,C2,tayyorgarliksiz aytilgan,импровизированный,done without preparation,ɪkˌstempəˈreɪniəs,,advanced,He gave an extemporaneous speech.,U tayyorgarliksiz nutq so‘zladi.,,improvised | spontaneous,prepared | rehearsed
extraneous,adjective,C1,ortiqcha aloqasiz,посторонний,not relevant or necessary,ɪkˈstreɪniəs,,advanced,Remove extraneous details from the essay.,Inshodan ortiqcha aloqasiz tafsilotlarni olib tashlang.,,irrelevant | unnecessary,relevant | essential
facetious,adjective,C2,noo‘rin hazilkash,шутливый неуместно,treating serious matters with humour,fəˈsiːʃəs,,advanced,His facetious remark annoyed the judge.,Uning noo‘rin hazilkash gapi sudyani ranjitdi.,,flippant | joking,serious | earnest
farrago,noun,C2,chalkash qorishma,мешанина,a confused mixture of things,fəˈrɑːɡəʊ,,advanced,The speech was a farrago of claims.,Nutq da’volarning aralash chalkashligi edi.,,jumble | mess,order | clarity
fecund,adjective,C2,sermahsul,плодородный,able to produce many ideas or offspring,ˈfekənd,,advanced,Her fecund imagination shaped the novel.,Uning serhosil tasavvuri romanni shakllantirdi.,,fertile | productive,barren | sterile
fetter,verb,C2,cheklamoq,сковывать,to restrict freedom,ˈfetə,,advanced,Old rules fetter new businesses.,Eski qoidalar yangi bizneslarni cheklaydi.,,restrain | restrict,free | release
filibuster,verb,C2,qonunni cho‘zib to‘smoq,флибустьерствовать,to delay a vote by long speech,ˈfɪlɪbʌstə,,advanced,Senators may filibuster the bill.,Senatorlar qonunni cho‘zib to‘sishi mumkin.,,delay | obstruct,advance | approve
fissure,noun,C2,yoriq,трещина,a long narrow crack,ˈfɪʃə,,advanced,A fissure appeared in the wall.,Devorda yoriq paydo bo‘ldi.,,crack | split,seal | closure
flippant,adjective,C1,yengiltak,легкомысленный,not showing proper seriousness,ˈflɪpənt,,advanced,His flippant tone upset the committee.,Uning yengiltak ohangi qo‘mitani ranjitdi.,,frivolous | casual,serious | respectful
foment,verb,C2,qo‘zg‘atmoq,разжигать,to encourage trouble or rebellion,fəʊˈment,,advanced,False news can foment panic.,Yolg‘on xabar vahimani qo‘zg‘atishi mumkin.,,incite | provoke,calm | suppress
forebear,noun,C2,ajdod,предок,a person from whom you are descended,ˈfɔːbeə,,advanced,My forebear lived in this valley.,Mening ajdodim shu vodiyda yashagan.,,ancestor | predecessor,descendant | successor
foreboding,noun,C2,yomon voqea oldidan xavotir,предчувствие,a feeling that something bad will happen,fɔːˈbəʊdɪŋ,,advanced,She felt a strange foreboding before the trip.,U safar oldidan g‘alati yomonlik sezgisini his qildi.,,premonition | dread,confidence | calm
forswear,verb,C2,tark etishga qasam ichmoq,отречься,to promise to give something up,fɔːˈsweə,,advanced,He decided to forswear violence.,U zo‘ravonlikni tark etishga qasam ichdi.,,renounce | reject,embrace | accept
frisson,noun,C2,hayajon titrog‘i,трепет,a sudden strong feeling of excitement,ˈfriːsɒn,,advanced,A frisson ran through the audience.,Tomoshabinlar orasidan hayajon titrog‘i o‘tdi.,,thrill | shiver,calm | dullness
fulminate,verb,C2,g‘azab bilan norozilik bildirmoq,громко осуждать,to protest loudly and angrily,ˈfʊlmɪneɪt,,advanced,Commentators fulminate against the tax rise.,Sharhlovchilar soliq oshishiga g‘azab bilan qarshi chiqadi.,,denounce | thunder,praise | approve
at daggers drawn,idiom,C2,ashaddiy adovatda,на ножах,in a state of bitter hostility,ət ˈdæɡəz drɔːn,,idioms,The two directors are at daggers drawn.,Ikki direktor ashaddiy adovatda.,,hostile | opposed,friendly | allied
at sixes and sevens,idiom,C1,tartibsiz holatda,в беспорядке,in a confused or disorganised state,ət ˈsɪksɪz ənd ˈsevənz,,idioms,The office was at sixes and sevens after the move.,Ko‘chishdan keyin ofis tartibsiz holatda edi.,,confused | chaotic,ordered | organised
beyond the pale,idiom,C2,mutlaqo nomaqbul,за гранью,completely unacceptable,bɪˈjɒnd ðə peɪl,,idioms,His behaviour was beyond the pale.,Uning xatti harakati mutlaqo nomaqbul edi.,,unacceptable | outrageous,acceptable | proper
carry the can,idiom,C2,aybni bo‘yniga olmoq,нести ответственность,to take blame for something,ˈkæri ðə kæn,,idioms,Junior staff should not carry the can alone.,Kichik xodimlar aybni yolg‘iz bo‘yniga olmasligi kerak.,,take blame | answer,avoid blame | escape
cast aspersions,idiom,C2,sha’niga tuhmatli gap aytmoq,бросать тень,to make damaging remarks about someone’s character,kɑːst əˈspɜːʃənz,,idioms,Do not cast aspersions without evidence.,Dalilsiz birovning sha’niga shubha solmang.,,slander | malign,praise | defend
come hell or high water,idiom,C2,nima bo‘lsa ham,во что бы то ни стало,no matter what happens,kʌm hel ɔː haɪ ˈwɔːtə,,idioms,We will finish come hell or high water.,Nima bo‘lsa ham tugatamiz.,,whatever happens | certainly,maybe | conditionally
cut no ice,idiom,C2,ta’sir qilmaslik,не иметь значения,to fail to influence someone,kʌt nəʊ aɪs,,idioms,Excuses cut no ice with the manager.,Bahonalari menejerga ta’sir qilmaydi.,,fail | not persuade,convince | impress
dead in the water,idiom,C2,butunlay ish bermaydigan,мертвый проект,unable to continue,ded ɪn ðə ˈwɔːtə,,idioms,The plan is dead in the water.,Reja endi butunlay ish bermaydi.,,failed | stalled,active | viable
down the line,idiom,B2,keyinchalik,в будущем,later in the future,daʊn ðə laɪn,,idioms,Problems may appear down the line.,Muammolar keyinchalik paydo bo‘lishi mumkin.,,later | eventually,now | immediately
fall through the cracks,idiom,C1,e’tibordan chetda qolmoq,провалиться сквозь щели,to be missed by a system,fɔːl θruː ðə kræks,,idioms,Some students fall through the cracks.,Ba’zi talabalar e’tibordan chetda qoladi.,,be missed | be overlooked,be noticed | be supported
for all intents and purposes,idiom,C1,amalda,по сути,in every practical way,fər ɔːl ɪnˈtents ənd ˈpɜːpəsɪz,,idioms,The project is for all intents and purposes finished.,Loyiha amalda tugagan.,,effectively | practically,theoretically | partly
from pillar to post,idiom,C2,u yoqdan bu yoqqa,от одного к другому,from one place or person to another,frəm ˈpɪlə tə pəʊst,,idioms,They sent us from pillar to post.,Ular bizni u yoqdan bu yoqqa yuborishdi.,,around | everywhere,directly | straight
get short shrift,idiom,C2,e’tiborsiz va tezda rad etilmoq,получить отказ,to receive little attention or sympathy,ɡet ʃɔːt ʃrɪft,,idioms,Their complaint may get short shrift.,Ularning shikoyati e’tiborsiz va tezda rad etilishi mumkin.,,be dismissed | be ignored,be heard | be accepted
give short shrift,idiom,C2,e’tiborsiz rad etmoq,резко отвергнуть,to treat something with little patience,ɡɪv ʃɔːt ʃrɪft,,idioms,The editor will give short shrift to weak claims.,Muharrir zaif da’volarni e’tiborsiz rad etadi.,,dismiss | reject,consider | accept
go cap in hand,idiom,C2,yalinib yordam so‘ramoq,идти с протянутой рукой,to ask humbly for help,ɡəʊ kæp ɪn hænd,,idioms,The club had to go cap in hand to sponsors.,Klub homiylardan yalinib yordam so‘rashga majbur bo‘ldi.,,beg | plead,demand | refuse
go down a treat,idiom,C1,juda yoqmoq,зайти на ура,to be received very well,ɡəʊ daʊn ə triːt,,idioms,The new feature will go down a treat.,Yangi funksiya juda yoqadi.,,delight | please,disappoint | fail
have skin in the game,idiom,C2,shaxsiy manfaat yoki tavakkalga ega bo‘lmoq,иметь личную заинтересованность,to have personal risk or investment,hæv skɪn ɪn ðə ɡeɪm,,idioms,Investors have skin in the game.,Investorlarning bu ishda shaxsiy manfaati va tavakkali bor.,,be invested | be involved,be detached | avoid
hold all the aces,idiom,C2,ustunlikka ega bo‘lmoq,иметь все козыри,to have all advantages,həʊld ɔːl ði ˈeɪsɪz,,idioms,The buyer seems to hold all the aces.,Xaridor barcha ustunliklarga ega ko‘rinadi.,,dominate | control,lose | trail
in clover,idiom,C2,farovon yashayotgan,как сыр в масле,in comfort or luxury,ɪn ˈkləʊvə,,idioms,After the promotion he was in clover.,Lavozim oshgach u farovon yashay boshladi.,,comfortable | prosperous,poor | struggling
in dire straits,idiom,C1,og‘ir ahvolda,в тяжелом положении,in a very difficult situation,ɪn ˈdaɪə streɪts,,idioms,The firm is in dire straits.,Kompaniya og‘ir ahvolda.,,desperate | troubled,secure | stable
in fine fettle,idiom,C2,juda yaxshi holatda,в отличной форме,in very good condition,ɪn faɪn ˈfetl,,idioms,The team is in fine fettle before the final.,Jamoa final oldidan juda yaxshi holatda.,,healthy | fit,unwell | weak
in full swing,idiom,B2,avjida,в самом разгаре,fully active or happening,ɪn fʊl swɪŋ,,idioms,Preparations are in full swing.,Tayyorgarlik avjida.,,active | underway,paused | inactive
in rude health,idiom,C2,juda yaxshi holatda,в полном здравии,"very healthy, strong, or successful",ɪn ruːd helθ,,idioms,The business is in rude health.,Biznes juda yaxshi holatda.,,robust | thriving,weak | failing
keep your powder dry,idiom,C2,"tayyor turib, qulay paytni kutmoq",держать порох сухим,to stay ready and wait for the right moment,kiːp jɔː ˈpaʊdə draɪ,,idioms,We should keep our powder dry until prices fall.,"Narxlar tushguncha tayyor turib, qulay paytni kutishimiz kerak.",,wait | prepare,rush | spend
kick into the long grass,idiom,C2,keyinga surib yubormoq,отложить в долгий ящик,to delay dealing with something,kɪk ˈɪntuː ðə lɒŋ ɡrɑːs,,idioms,They may kick the reform into the long grass.,Ular islohotni keyinga surib yuborishi mumkin.,,postpone | defer,handle | resolve
leave in the lurch,idiom,C1,qiyin paytda tashlab ketmoq,оставить в беде,to abandon someone in trouble,liːv ɪn ðə lɜːtʃ,,idioms,Do not leave your teammates in the lurch.,Jamoangizni qiyin paytda tashlab ketmang.,,abandon | desert,support | help
make heavy weather of,idiom,C2,oson ishni qiyinlashtirmoq,усложнять,to make something seem more difficult,meɪk ˈhevi ˈweðər əv,,idioms,He can make heavy weather of simple tasks.,U oddiy ishlarni ham qiyinlashtirishi mumkin.,,overcomplicate | struggle,simplify | manage
not cut the mustard,idiom,C2,talabga javob bermaslik,не соответствовать,to fail to reach the required standard,nɒt kʌt ðə ˈmʌstəd,,idioms,This draft does not cut the mustard.,Bu qoralama talabga javob bermaydi.,,fail | underperform,succeed | satisfy
on a knife edge,idiom,C2,juda nozik vaziyatda,на грани,in a very uncertain situation,ɒn ə naɪf edʒ,,idioms,The election is on a knife edge.,Saylov juda nozik vaziyatda.,,uncertain | precarious,secure | settled
on tenterhooks,idiom,C2,xavotir bilan intizor kutishda,как на иголках,anxiously waiting,ɒn ˈtentəhʊks,,idioms,We were on tenterhooks before the result.,Natija oldidan xavotir bilan intizor kutdik.,,anxious | tense,calm | relaxed
out of kilter,idiom,C2,izdan chiqqan,не в порядке,not working or feeling right,aʊt əv ˈkɪltə,,idioms,The schedule is out of kilter.,Jadval izdan chiqqan.,,unbalanced | wrong,balanced | normal
pay lip service,idiom,C2,"amal qilmay, og‘izda qo‘llab-quvvatlamoq",отдавать дань на словах,to express support without action,peɪ lɪp ˈsɜːvɪs,,idioms,Many firms pay lip service to ethics.,"Ko‘p kompaniyalar etikani amalda emas, faqat og‘izda qo‘llab-quvvatlaydi.",,pretend | feign,act | commit
play second fiddle,idiom,C2,ikkinchi darajada bo‘lmoq,играть вторую скрипку,to have a less important role,pleɪ ˈsekənd ˈfɪdl,,idioms,He hates to play second fiddle.,U ikkinchi darajada bo‘lishni yomon ko‘radi.,,support | follow,lead | dominate
pull out all the stops,idiom,C1,bor kuchini ishga solmoq,сделать все возможное,to make every possible effort,pʊl aʊt ɔːl ðə stɒps,,idioms,We must pull out all the stops today.,Bugun bor kuchimizni ishga solishimiz kerak.,,strive | maximise,slack | neglect
put through the wringer,idiom,C2,qattiq sinovdan o‘tkazmoq,пропустить через мясорубку,to put someone through hardship,pʊt θruː ðə ˈrɪŋə,,idioms,The interview put every candidate through the wringer.,Suhbat har bir nomzodni qattiq sinovdan o‘tkazdi.,,test | exhaust,comfort | spare
ride roughshod over,idiom,C2,boshqalarning huquqini qo‘pol ravishda mensimaslik,попирать,to ignore others harshly,raɪd ˈrʌfʃɒd ˈəʊvə,,idioms,They cannot ride roughshod over local rights.,Ular mahalliy huquqlarni qo‘pol ravishda mensimasligi mumkin emas.,,trample | disregard,respect | protect
run a tight ship,idiom,C1,ishni qattiq tartibda boshqarmoq,держать строгий порядок,to manage very efficiently,rʌn ə taɪt ʃɪp,,idioms,The principal can run a tight ship.,Direktor ishni qattiq tartibda boshqara oladi.,,manage | control,mismanage | neglect
see the writing on the wall,idiom,C2,xavf belgilarini ko‘rmoq,видеть тревожные знаки,to notice signs of future trouble,siː ðə ˈraɪtɪŋ ɒn ðə wɔːl,,idioms,Investors see the writing on the wall.,Investorlar xavf belgilarini ko‘rmoqda.,,foresee | notice,ignore | miss
set great store by,idiom,C2,juda qadrlamoq,придавать большое значение,to value something highly,set ɡreɪt stɔː baɪ,,idioms,She sets great store by honesty.,U halollikni juda qadrlaydi.,,value | prize,disregard | scorn
sing from the same hymn sheet,idiom,C2,bir xil pozitsiyada gapirmoq,петь с одного листа,to say the same thing as a group,sɪŋ frəm ðə seɪm hɪm ʃiːt,,idioms,The team must sing from the same hymn sheet.,Jamoa bir xil pozitsiyada gapirishi kerak.,,agree | align,conflict | disagree
take a dim view of,idiom,C2,yomon qaramoq,не одобрять,to disapprove of something,teɪk ə dɪm vjuː əv,,idioms,The board will take a dim view of delays.,Kengash kechikishlarga yomon qaraydi.,,disapprove | condemn,approve | welcome
take the wind out of your sails,idiom,C2,ruhini tushirmoq,выбить почву из под ног,to reduce confidence or enthusiasm,teɪk ðə wɪnd aʊt əv jɔː seɪlz,,idioms,The criticism may take the wind out of your sails.,Tanqid ruhingizni tushirishi mumkin.,,discourage | deflate,encourage | inspire
toe the line,idiom,C1,qoidaga bo‘ysunmoq,следовать линии,to obey rules or policy,təʊ ðə laɪn,,idioms,Employees must toe the line at work.,Xodimlar ishda qoidaga bo‘ysunishi kerak.,,comply | obey,rebel | resist
turn the tables,idiom,C1,vaziyatni o‘zgartirib ustun bo‘lmoq,перевернуть ситуацию,to reverse a situation in your favour,tɜːn ðə ˈteɪblz,,idioms,The final question helped her turn the tables.,Oxirgi savol unga vaziyatni o‘zgartirib ustun bo‘lishga yordam berdi.,,reverse | outsmart,lose | yield
under the cosh,idiom,C2,kuchli bosim ostida,под давлением,under strong pressure,ˈʌndə ðə kɒʃ,,idioms,The team is under the cosh after two defeats.,Jamoa ikki mag‘lubiyatdan keyin kuchli bosim ostida.,,pressured | stressed,comfortable | relaxed
up the ante,idiom,C2,stavkani yoki talabni oshirmoq,повысить ставки,to increase risk or demand,ʌp ði ˈænti,,idioms,The rival company will up the ante.,Raqib kompaniya talabni oshiradi.,,increase | intensify,lower | reduce
with bells on,idiom,C1,jon deb,с радостью,with great enthusiasm,wɪð belz ɒn,,idioms,I will come with bells on.,Men jon deb kelaman.,,eagerly | gladly,reluctantly | unwillingly
with hindsight,idiom,B2,orqaga qarab baholaganda,задним числом,after thinking about the past,wɪð ˈhaɪndsaɪt,,idioms,With hindsight the decision was risky.,"Orqaga qarab baholaganda, qaror xavfli edi.",,retrospectively | later,immediately | blindly
without batting an eyelid,idiom,C2,qilt etmay,и глазом не моргнув,without showing surprise or concern,wɪˈðaʊt ˈbætɪŋ ən ˈaɪlɪd,,idioms,She accepted the challenge without batting an eyelid.,U qiyinchilikni qilt etmay qabul qildi.,,calmly | unmoved,nervously | anxiously
keep powder dry,idiom,C2,qulay paytni kutmoq,держать порох сухим,to stay ready and wait for the right moment before acting,kiːp ˈpaʊdə draɪ,,idioms,We should keep our powder dry until prices fall.,Narxlar tushguncha qulay paytni kutishimiz kerak.,,wait | prepare | stay ready,rush | act hastily
