headword,pos,example_en,example_uz,example_ru
steve,verb,The workers had to steve the large containers carefully into the ship's hold.,,Рабочим пришлось аккуратно загружать большие контейнеры в трюм корабля.
easily,adverb,She can easily finish this difficult task in less than an hour.,,Она легко справится с этой сложной задачей менее чем за час.
oral,adjective,The students must pass an oral exam to complete their language course.,,Студенты должны сдать устный экзамен для завершения языкового курса.
poster,noun,He put a large colorful poster of his favorite film on the wall.,,Он повесил на стену большой красочный постер своего любимого фильма.
edge,noun,Be careful not to sit too close to the edge of the cliff.,,Будьте осторожны и не садитесь слишком близко к краю обрыва.
functional,adjective,The modern kitchen design is very functional and makes cooking much easier.,,Современный дизайн кухни очень функционален и значительно упрощает приготовление пищи.
root,noun,The tree has deep roots that help it stay strong during storms.,,"У дерева глубокие корни, которые помогают ему оставаться сильным во время штормов."
pink,adjective,My new dress is a wonderful shade of pink.,,Моё новое платье чудесного розового оттенка.
balance,noun,It is important to keep a healthy balance between work and life.,,Важно сохранять здоровый баланс между работой и жизнью.
graduate,noun,"If the government wants graduates to stay, they should offer more incentives.",,"Если правительство хочет, чтобы выпускники остались, оно должно предложить больше стимулов."
shot,adjective,I have to go to bed now because I am absolutely shot.,,"Мне пора идти спать, потому что я совершенно застрелен."
architecture,noun,The architecture throughout the city is truly amazing to look at.,,Архитектура города действительно поражает воображение.
label,noun,The label says this silk scarf should not be washed.,,"На этикетке написано, что этот шелковый шарф нельзя стирать."
canon,noun,The trial must proceed according to the strict canons of law.,,Суд должен проходить по строгим канонам права.
league,noun,He loves watching various cricket leagues played all around the world.,,"Он любит смотреть, как играют различные лиги по крикету по всему миру."
provider,noun,We need to choose a new internet service provider for our office.,,Нам нужно выбрать нового интернет-провайдера для нашего офиса.
optional,adjective,Participation in the extra afternoon class is completely optional for students.,,Участие в дополнительных дневных занятиях для студентов совершенно необязательно.
manufacturing,noun,The country has focused more on the manufacturing sector in recent years.,,В последние годы страна больше внимания уделяет производственному сектору.
fantasy,noun,She enjoys reading high fantasy novels set in mysterious magical worlds.,,"Ей нравится читать романы в жанре фэнтези, действие которых происходит в загадочных волшебных мирах."
motor,noun,The electric motor powers the fan to keep the room cool.,,"Электродвигатель приводит в действие вентилятор, поддерживая прохладу в помещении."
professor,noun,The professor gave an interesting lecture on modern history today.,,Профессор прочитал сегодня интересную лекцию по современной истории.
install,verb,We need to install a new program on the office computers.,,Нам нужно установить новую программу на офисные компьютеры.
apparel,noun,The store sells a wide range of professional sports apparel.,,В магазине представлен широкий ассортимент профессиональной спортивной одежды.
generally,adverb,"Generally, it is sunny in the south during the summer months.",,Обычно в летние месяцы на юге солнечно.
mass,adjective,The new policy led to mass protests across the whole country.,,Новая политика привела к массовым протестам по всей стране.
crime,noun,The police are working hard to reduce crime in this city.,,"Полиция прилагает все усилия, чтобы снизить уровень преступности в этом городе."
count,verb,Can you count how many chairs are in the classroom?,,"Можете ли вы посчитать, сколько стульев в классе?"
breast,noun,She felt a small lump in her breast and called the doctor.,,Она почувствовала небольшое уплотнение в груди и позвонила врачу.
techniques,noun,Modern learning techniques help students understand complex subjects much more easily.,,Современные методы обучения помогают учащимся гораздо легче понимать сложные предметы.
quickly,adverb,Please finish your dinner quickly so we can leave for the park.,,"Пожалуйста, закончите ужин побыстрее, чтобы мы могли отправиться в парк."
religion,noun,Many people find peace and community through their practice of religion.,,Многие люди обретают мир и общность благодаря своей религиозной практике.
claim,verb,Some scientists claim that global warming will change our world drastically soon.,,"Некоторые ученые утверждают, что глобальное потепление скоро радикально изменит наш мир."
surgery,noun,Surgery is often necessary to prevent cancer from spreading throughout the body.,,Хирургическое вмешательство часто необходимо для предотвращения распространения рака по всему организму.
patch,noun,His sleeves had patches on the elbows where the fabric had worn away.,,"На рукавах у него были заплаты на локтях там, где ткань стерлась."
heat,noun,You should stay inside to avoid the intense heat of the sun today.,,"Вам следует оставаться внутри, чтобы избежать сильного солнечного жара сегодня."
wild,adjective,It is dangerous to approach wild animals when you are hiking in mountains.,,Во время похода в горы опасно приближаться к диким животным.
measures,noun,The government is taking new measures to improve safety in our local schools.,,Правительство принимает новые меры для повышения безопасности в наших местных школах.
miss,verb,I was late for the station and managed to miss my morning train.,,Я опоздал на вокзал и умудрился опоздать на утренний поезд.
chemical,noun,Farmers often use chemical fertilizers to help their crops grow much faster.,,"Фермеры часто используют химические удобрения, чтобы ускорить рост урожая."
task,noun,I need to complete this important task before the office closes today.,,Мне нужно выполнить это важное задание до закрытия офиса сегодня.
brought,verb,She brought a delicious cake to the party for everyone to share.,,"Она принесла на вечеринку вкусный торт, чтобы все могли разделить его."
himself,pronoun,He looked at himself in the mirror to check his new tie.,,"Он посмотрел на себя в зеркало, чтобы проверить свой новый галстук."
exercise,noun,Regular exercise is very important for maintaining a healthy lifestyle and mood.,,Регулярные занятия спортом очень важны для поддержания здорового образа жизни и настроения.
bug,noun,Stop trying to bug me while I am working on this report.,,"Перестаньте беспокоить меня, пока я работаю над этим отчетом."
leader,noun,She is a great leader who inspires her whole team.,,"Она великолепный лидер, который вдохновляет всю свою команду."
diamond,noun,He gave his wife a beautiful diamond ring for her birthday.,,На день рождения он подарил жене красивое кольцо с бриллиантом.
soft,adjective,The bed was very soft and comfortable to sleep on.,,Кровать очень мягкая и удобная для сна.
keyword,noun,Please include a relevant keyword in your internet search query.,,"Пожалуйста, включите соответствующее ключевое слово в свой поисковый запрос в Интернете."
flight,noun,Our flight to London leaves at six o'clock this evening.,,Наш рейс в Лондон вылетает сегодня вечером в шесть часов.
congress,noun,The national congress will meet next week to vote on new laws.,,"Национальный конгресс соберется на следующей неделе, чтобы проголосовать за новые законы."
fuel,noun,We need to find more fuel for the fire to stay warm.,,"Нам нужно найти больше топлива для костра, чтобы согреться."
produced,verb,This factory produced thousands of cars for the international market last year.,,В прошлом году этот завод выпустил тысячи автомобилей для международного рынка.
paperback,noun,I prefer buying a cheap paperback to read while traveling on the train.,,"Я предпочитаю покупать дешевую книгу в мягкой обложке, чтобы читать ее во время поездки в поезде."
classifieds,noun,He found his new apartment by checking the newspaper classifieds every morning.,,"Свою новую квартиру он нашел, каждое утро проверяя объявления в газетах."
wait,verb,Please wait here until the doctor is ready to see you.,,"Пожалуйста, подождите здесь, пока врач не будет готов вас принять."
saint,noun,People often visit the old church to pray to the patron saint.,,"Люди часто посещают старую церковь, чтобы помолиться святому покровителю."
rose,noun,She placed a single red rose in the glass vase on the table.,,Она поставила одну красную розу в стеклянную вазу на столе.
freedom,noun,They fought for the freedom of their country and their people.,,Они сражались за свободу своей страны и своего народа.
argument,noun,The professor provided a strong argument for changing the current school policy.,,Профессор привел веские аргументы в пользу изменения нынешней школьной политики.
joint,adjective,The two companies made a joint decision to launch a new product together.,,Обе компании приняли совместное решение запустить новый продукт вместе.
premium,adjective,The hotel offers a premium service for guests who want extra comfort.,,"Отель предлагает премиальный сервис для гостей, желающих дополнительного комфорта."
fresh,adjective,Nothing tastes better than fresh bread straight from the bakery oven.,,Нет ничего вкуснее свежего хлеба прямо из печи.
attorney,noun,She hired a skilled attorney to represent her in the legal case.,,"Она наняла опытного адвоката, который представлял бы ее интересы в судебном деле."
upgrade,verb,I had to upgrade my computer to run the new video editing software.,,"Мне пришлось обновить свой компьютер, чтобы запустить новое программное обеспечение для редактирования видео."
growing,adjective,There is a growing interest in learning foreign languages among young people.,,Среди молодежи растет интерес к изучению иностранных языков.
thousands,noun,Thousands of people attended the concert in the city square last night.,,Тысячи людей посетили концерт на городской площади вчера вечером.
stream,noun,The cold water flowed down the mountain in a small clear stream.,,Холодная вода стекала с горы небольшим прозрачным ручьем.
pick,verb,It is finally time to pick fresh apples from the tree in autumn.,,Осенью наконец-то пришло время собирать с дерева свежие яблоки.
eastern,adjective,Many people travel to the eastern part of the country for holidays.,,Многие люди едут в восточную часть страны на отдых.
entries,noun,The dictionary contains many new entries related to modern internet technology.,,"Словарь содержит много новых статей, связанных с современными интернет-технологиями."
upper,adjective,We live in an apartment on the upper floor of this building.,,Мы живем в квартире на верхнем этаже этого дома.
administrative,adjective,The manager is responsible for all administrative tasks in the office.,,Менеджер отвечает за все административные задачи в офисе.
serious,adjective,This is a serious problem that we need to solve immediately.,,"Это серьезная проблема, которую нам необходимо решить немедленно."
prime,adjective,Our prime objective is to improve the quality of our services.,,Нашей главной целью является улучшение качества наших услуг.
limit,noun,There is a speed limit on this road for safety reasons.,,На этой дороге действует ограничение скорости из соображений безопасности.
informed,adjective,An informed young man delivered a lecture on the history of modern art.,,Информированный молодой человек прочитал лекцию по истории современного искусства.
creek,noun,We sat by the small creek and enjoyed the quiet afternoon sun.,,Мы сидели у небольшого ручья и наслаждались тихим полуденным солнцем.
quantity,noun,You have to choose between quantity and quality in your daily work.,,В повседневной работе вам приходится выбирать между количеством и качеством.
myself,pronoun,I taught myself how to speak a new foreign language this year.,,В этом году я научился говорить на новом иностранном языке.
platform,noun,This new talk show will give a platform to everyday men and women.,,Это новое ток-шоу предоставит платформу обычным мужчинам и женщинам.
load,noun,I struggled up the hill with the heavy load in my rucksack.,,Я с трудом поднялся на холм с тяжелым грузом в рюкзаке.
affiliate,noun,Our local TV channel is an official affiliate of the national network.,,Наш местный телеканал является официальным филиалом национальной сети.
labor,noun,The project required a lot of manual labor to complete on time.,,"Чтобы завершить проект в срок, потребовалось много ручного труда."
admin,noun,There is a lot of boring admin to do for this project.,,Админу предстоит много скучной работы над этим проектом.
defense,noun,The country built strong walls for its own national defense.,,Страна построила прочные стены для своей национальной обороны.
tags,noun,Please add some relevant tags to your online post today.,,"Пожалуйста, добавьте несколько соответствующих тегов к своему онлайн-сообщению сегодня."
heavy,adjective,Can you help me move this heavy box into the house?,,Можете ли вы помочь мне перенести эту тяжелую коробку в дом?
recovery,noun,"After the long surgery, his recovery took almost three months.",,После длительной операции его восстановление заняло почти три месяца.
configuration,noun,The engineers changed the configuration of the system for better speed.,,Инженеры изменили конфигурацию системы для лучшей скорости.
merchant,noun,The merchant sold spices and silks from across the distant seas.,,Купец продавал пряности и шелка из-за дальних морей.
expert,noun,We called in several experts on the subject for their professional advice.,,Мы обратились к нескольким экспертам по этому вопросу за профессиональным советом.
universal,adjective,Climate change is a universal problem that affects every country on Earth.,,"Изменение климата — универсальная проблема, которая затрагивает каждую страну на Земле."
drop,verb,I did not mean to drop my phone on the hard floor.,,Я не хотел ронять телефон на твердый пол.
solid,adjective,Almost all metals are solid at normal room temperature.,,Почти все металлы являются твердыми при нормальной комнатной температуре.
presentation,noun,She gave a very interesting presentation about new marketing strategies yesterday.,,Вчера она провела очень интересную презентацию о новых маркетинговых стратегиях.
became,verb,It became very cold as soon as the sun went down.,,"Как только зашло солнце, стало очень холодно."
theme,noun,The main theme of the story is the importance of family love.,,Основная тема повести – важность семейной любви.
rich,adjective,He worked very hard for many years to become a rich man.,,"Он много лет упорно трудился, чтобы стать богатым человеком."
campaign,noun,The political party started a new campaign to improve local schools.,,Политическая партия начала новую кампанию по улучшению местных школ.
improvement,noun,There has been a big improvement in his English writing skills lately.,,В последнее время его навыки письма на английском языке значительно улучшились.
guitar,noun,She likes to play her acoustic guitar in the park every weekend.,,Каждые выходные ей нравится играть на акустической гитаре в парке.
spirit,noun,The team showed a great spirit during the difficult final match.,,Команда продемонстрировала отличный настрой в сложном финальном матче.
acceptance,noun,He waited for her acceptance of the job offer with great excitement.,,Он с большим волнением ждал ее принятия предложения о работе.
strategies,noun,The company developed new strategies to improve its sales in the region.,,Компания разработала новую стратегию для улучшения продаж в регионе.
seem,verb,You seem very tired after working all day in the hot sun.,,Вы выглядите очень уставшим после целого дня работы под палящим солнцем.
affairs,noun,He decided to manage his personal affairs before starting the new job.,,"Он решил разобраться со своими личными делами, прежде чем приступить к новой работе."
touch,verb,Please do not touch the painting while we are in the museum.,,"Пожалуйста, не трогайте картину, пока мы в музее."
intended,adjective,The medicine did not have the intended effect on the patient's condition.,,Лекарство не оказало должного влияния на состояние больного.
towards,preposition,She walked towards the station as the train was about to leave.,,"Она пошла к станции, когда поезд уже собирался отправляться."
hire,verb,They decided to hire a new assistant to help with the office work.,,Они решили нанять нового помощника для помощи в офисной работе.
election,noun,The parliamentary election will be held in March this year.,,Парламентские выборы пройдут в марте этого года.
branch,noun,The bird sat on a small branch of the oak tree.,,Птица сидела на маленькой ветке дуба.
serve,verb,They usually serve breakfast until ten o'clock in the morning.,,Обычно они подают завтрак до десяти часов утра.
magic,noun,The children enjoyed watching the magic show at the party.,,Дети с удовольствием посмотрели волшебное шоу на празднике.
mount,verb,He had to mount the stairs to reach the top floor.,,"Ему пришлось подняться по лестнице, чтобы добраться до верхнего этажа."
smart,adjective,She is a very smart student who always finishes her work.,,"Она очень умная ученица, которая всегда доводит работу до конца."
multimedia,noun,The presentation used multimedia to make the lesson more interesting.,,"В презентации использовались мультимедиа, чтобы сделать урок более интересным."
certified,adjective,You need a certified accountant to prepare your tax documents.,,Вам нужен сертифицированный бухгалтер для подготовки налоговых документов.
rank,noun,She reached the rank of captain after ten years of service.,,Звания капитана она достигла после десяти лет службы.
computing,noun,She decided to study computing at university to become a programmer.,,Она решила изучать компьютерные технологии в университете и стать программистом.
birth,noun,The birth of her daughter was the happiest moment of her life.,,Рождение дочери было самым счастливым моментом в ее жизни.
virus,noun,He caught a flu virus and had to stay home from school.,,"Он подхватил вирус гриппа, и ему пришлось остаться дома и не ходить в школу."
abuse,noun,Society must work together to stop the abuse of human rights.,,"Общество должно работать сообща, чтобы остановить нарушения прав человека."
interactive,adjective,The teacher used an interactive whiteboard to make the lesson more fun.,,"Учитель использовал интерактивную доску, чтобы сделать урок более увлекательным."
separate,adjective,Please keep your dirty clothes in a separate bag from clean ones.,,"Пожалуйста, храните грязную одежду в отдельной сумке от чистой."
quarter,noun,We still have a quarter of the cake left for tomorrow morning.,,У нас еще осталась четверть торта на завтрашнее утро.
leadership,noun,Strong leadership is essential for the success of any large business project.,,Сильное лидерство необходимо для успеха любого крупного бизнес-проекта.
religious,adjective,The city has many beautiful religious buildings that date back centuries.,,"В городе много красивых религиозных зданий, построенных на протяжении веков."
kong,noun,She declared a kong to gain an advantage in the mahjong game.,,"Она объявила конг, чтобы получить преимущество в игре в маджонг."
column,noun,Please write your answers in the second column of the table provided.,,"Пожалуйста, напишите свои ответы во второй колонке предоставленной таблицы."
faith,noun,I have full faith that he will complete the task on time.,,"Я полностью уверен, что он выполнит задание в срок."
chain,noun,He fastened his bicycle to the pole with a heavy metal chain.,,Он прикрепил свой велосипед к столбу тяжелой металлической цепью.
developer,noun,The software developer fixed the bugs in the new mobile application update.,,Разработчик программного обеспечения исправил ошибки в новом обновлении мобильного приложения.
avenue,noun,We took a long walk down the main avenue during the afternoon.,,Днем мы совершили долгую прогулку по главной аллее.
approximately,adverb,The meeting will take approximately one hour to finish this afternoon.,,Встреча продлится около часа и завершится сегодня во второй половине дня.
sitemap,noun,You can find all the pages by looking at the website sitemap.,,"Вы можете найти все страницы, посмотрев карту сайта сайта."
recommendations,noun,The teacher gave us many useful recommendations for our final project.,,Учитель дал нам много полезных рекомендаций для нашего итогового проекта.
reach,verb,Could you please reach me that book from the high shelf?,,Не могли бы вы достать мне ту книгу с высокой полки?
mental,adjective,It is important to look after your mental health every single day.,,Важно заботиться о своем психическом здоровье каждый день.
inch,noun,The water level rose by every inch during the heavy rainstorm.,,Во время сильного ливня уровень воды поднялся на каждый дюйм.
attack,verb,This species of snake will only attack humans if it feels threatened.,,"Этот вид змей нападет на людей только в том случае, если почувствует угрозу."
sorry,adjective,I am sorry I stepped on your toes. It was an accident.,,"Мне жаль, что я наступил тебе на ногу. Это был несчастный случай."
lab,noun,"I dropped my mixture while doing my lab, so I had to start over.",,"Я уронил смесь во время лабораторной работы, поэтому мне пришлось начинать все сначала."
reserve,verb,Please reserve me a parking space if you can.,,"Пожалуйста, зарезервируйте мне место на парковке, если сможете."
gamma,noun,Gamma rays are often used in medical treatments to fight disease.,,Гамма-лучи часто используются в медицинских целях для борьбы с болезнями.
plastic,noun,Most water bottles are made of cheap plastic these days.,,В наши дни большинство бутылок для воды изготавливаются из дешевого пластика.
produce,verb,This factory will produce enough cars to meet the rising demand.,,"Этот завод будет производить достаточно автомобилей, чтобы удовлетворить растущий спрос."
truth,noun,You should tell the truth about what happened yesterday at school.,,"Ты должен рассказать правду о том, что произошло вчера в школе."
counter,noun,The cashier placed the items on the wooden counter for me.,,Кассир положила мне товары на деревянную стойку.
failure,noun,His failure to complete the project resulted in a lower grade.,,Его неспособность завершить проект привела к снижению оценки.
weekend,noun,I usually visit my grandparents at the weekend with my parents.,,Обычно я навещаю бабушку и дедушку на выходных с родителями.
dollar,noun,The book costs only five dollars at the local airport bookstore.,,Книга стоит всего пять долларов в книжном магазине местного аэропорта.
automatically,adverb,The door opens automatically when you walk toward the main entrance.,,"Дверь открывается автоматически, когда вы подходите к главному входу."
native,adjective,"English is not my native language, but I speak it quite well.",,"Английский не является моим родным языком, но я говорю на нем достаточно хорошо."
fill,verb,Please fill the bucket with water before you start cleaning the floor.,,"Прежде чем приступить к мытью пола, наполните ведро водой."
movement,noun,I saw a sudden movement in the grass near the old tree.,,Я увидел внезапное движение в траве возле старого дерева.
baseball,noun,My brother loves to play baseball with his friends on the weekend.,,Мой брат любит играть в бейсбол со своими друзьями по выходным.
owned,adjective,This is a family-owned business that has been running for many years.,,"Это семейный бизнес, который работает уже много лет."
approval,noun,We are still waiting for official approval from the city council manager.,,Мы все еще ждем официального одобрения от руководителя городского совета.
draft,verb,I need to draft a report before the meeting starts tomorrow morning.,,Мне нужно подготовить отчет до начала встречи завтра утром.
chart,noun,The sales team created a new chart to show our monthly profit.,,"Команда продаж создала новую диаграмму, показывающую нашу ежемесячную прибыль."
equal,adjective,She believes that all people should have equal rights in our society.,,"Она считает, что в нашем обществе все люди должны иметь равные права."
adventure,noun,Traveling across the mountains was a real adventure for our small team.,,Путешествие по горам стало для нашей небольшой команды настоящим приключением.
profit,noun,The small company made a huge profit after selling their new software.,,Небольшая компания получила огромную прибыль после продажи своего нового программного обеспечения.
institutions,noun,Educational institutions play a very important role in developing our local community.,,Образовательные учреждения играют очень важную роль в развитии нашего местного сообщества.
assistant,noun,My assistant helps me organize all the files for the meeting.,,Мой помощник помогает мне организовать все файлы для встречи.
variable,adjective,The weather in this region is very variable throughout the year.,,Погода в этом регионе очень переменчива в течение года.
advertisement,noun,I saw an advertisement for a new car in the magazine.,,Увидел в журнале рекламу новой машины.
wholesale,noun,They buy furniture at wholesale prices and sell them to customers.,,Они покупают мебель по оптовым ценам и продают ее покупателям.
workshop,noun,We attended a creative writing workshop to improve our storytelling skills.,,"Мы посетили мастер-класс по творческому письму, чтобы улучшить свои навыки рассказывания историй."
extension,noun,We are planning an extension to our house to get more space.,,"Мы планируем пристройку к нашему дому, чтобы получить больше места."
seattle,noun,Many famous technology companies have their main offices in Seattle.,,Главные офисы многих известных технологических компаний находятся в Сиэтле.
golden,adjective,The sunset gave the mountains a beautiful golden glow.,,Закат придал горам красивое золотое сияние.
completely,adverb,I completely forgot that we had a meeting this morning.,,"Я совершенно забыл, что у нас была встреча сегодня утром."
fort,noun,The soldiers stood guard outside the walls of the old fort.,,Солдаты стояли на страже у стен старого форта.
senate,noun,The Senate voted to approve the new economic law yesterday.,,Вчера Сенат проголосовал за одобрение нового экономического закона.
funny,adjective,He told a very funny story that made everyone laugh out loud.,,"Он рассказал очень забавную историю, которая заставила всех громко рассмеяться."
portable,adjective,This portable radio is perfect for taking on camping trips.,,Это портативное радио идеально подходит для походов.
tried,verb,"I tried to open the window, but it was stuck shut.",,"Я попыталась открыть окно, но оно застряло."
electrical,adjective,You need an electrical expert to fix the broken wall socket.,,"Вам нужен специалист-электрик, чтобы починить сломанную розетку."
disc,noun,"The music was stored on a small, shiny plastic disc.",,Музыка хранилась на маленьком блестящем пластиковом диске.
pattern,noun,The carpet has a beautiful blue and white flower pattern.,,Ковер украшен красивым сине-белым цветочным узором.
theatre,noun,We are going to the theatre to see a new play.,,Мы собираемся в театр посмотреть новую пьесу.
laser,noun,The surgeon used a laser to perform the delicate eye operation.,,Хирург использовал лазер для выполнения деликатной операции на глазах.
earlier,adjective,I finished my work much earlier than I expected today.,,"Сегодня я закончил свою работу намного раньше, чем ожидал."
sponsor,noun,The sports event has a major sponsor from the clothing industry.,,У спортивного мероприятия есть крупный спонсор из швейной промышленности.
classical,adjective,She enjoys listening to classical music while she studies in the library.,,"Ей нравится слушать классическую музыку, пока она учится в библиотеке."
icon,noun,He is a global icon in the world of modern fashion design.,,Он является мировой иконой в мире современного дизайна моды.
warranty,noun,Make sure the warranty covers the cost of parts and labor for repairs.,,"Убедитесь, что гарантия покрывает стоимость деталей и работу по ремонту."
direction,noun,Please tell me which direction I should take to reach the train station.,,"Пожалуйста, скажите мне, в каком направлении мне следует идти, чтобы добраться до железнодорожного вокзала."
harry,verb,The attackers continued to harry the village until the soldiers arrived for help.,,"Нападавшие продолжали громить деревню, пока солдаты не прибыли за помощью."
basketball,noun,My brother plays basketball with his friends at the park every Sunday.,,Мой брат каждое воскресенье играет в баскетбол со своими друзьями в парке.
delete,verb,You should delete the old files to make space on your hard drive.,,"Вам следует удалить старые файлы, чтобы освободить место на жестком диске."
assembly,noun,The whole school met in the hall for a morning assembly.,,Вся школа собралась в холле на утреннее собрание.
nuclear,adjective,Many countries are looking for alternatives to nuclear power energy.,,Многие страны ищут альтернативу атомной энергетике.
signal,noun,He gave a signal with his hand to stop the traffic.,,Он подал рукой знак остановить движение.
criminal,noun,The police finally caught the dangerous criminal after a long search.,,После долгих поисков полиция наконец поймала опасного преступника.
brain,noun,The human brain is a very complex and amazing organ.,,Человеческий мозг – очень сложный и удивительный орган.
sexual,adjective,The program aims to provide better sexual education to teenagers.,,Целью программы является улучшение сексуального образования подростков.
powerful,adjective,The engine of this new car is very powerful and fast.,,Двигатель этой новой машины очень мощный и быстрый.
dream,noun,I had a strange dream about flying over the ocean last night.,,Прошлой ночью мне приснился странный сон о полете над океаном.
false,adjective,The witness gave false information to the police during the investigation.,,В ходе расследования свидетель дал полиции ложную информацию.
cast,verb,She cast a quick look at the clock before leaving the room.,,"Прежде чем выйти из комнаты, она бросила быстрый взгляд на часы."
personnel,noun,The company needs to hire more personnel to manage the new project.,,Компании необходимо нанять больше персонала для управления новым проектом.
supplied,verb,The local farm supplied fresh vegetables to the school kitchen every week.,,Местная ферма каждую неделю поставляла на школьную кухню свежие овощи.
identified,verb,The researchers identified the cause of the disease after many years of study.,,Исследователи определили причину заболевания после многих лет исследований.
soul,noun,They believe that the soul lives on forever after the body dies.,,"Они верят, что душа продолжает жить вечно после смерти тела."
Hawaii,noun,We are planning to spend our summer vacation in beautiful Hawaii.,,Мы планируем провести летние каникулы на прекрасных Гавайях.
flag,noun,The flag of France has three vertical stripes.,,Флаг Франции имеет три вертикальные полосы.
advantage,noun,The enemy had the advantage of a more elevated position.,,Противник имел преимущество более возвышенной позиции.
tourism,noun,Tourism brings a lot of tax revenue to the area.,,Туризм приносит этому региону большие налоговые поступления.
clips,noun,I watched several short clips from the new action movie.,,Я посмотрел несколько коротких отрывков из нового боевика.
savings,noun,She used her life savings to buy a small house.,,Она потратила свои сбережения на покупку небольшого дома.
graphic,adjective,The design team has created a new graphic for the website.,,Команда дизайнеров создала новую графику для сайта.
atom,noun,Every object in the universe is made up of tiny atoms.,,Каждый объект во Вселенной состоит из крошечных атомов.
binding,adjective,This contract is a legally binding agreement for all the parties involved.,,Настоящий договор является юридически обязывающим соглашением для всех участвующих сторон.
brief,adjective,The manager gave a brief explanation of the new company policy today.,,Сегодня менеджер дал краткое объяснение новой политики компании.
winning,adjective,She scored the winning goal in the final minute of the match.,,Победный гол она забила на последней минуте матча.
iron,noun,The bridge is built primarily of strong iron and concrete parts.,,Мост построен в основном из прочных железных и бетонных частей.
straight,adjective,Draw a straight line across the paper using your ruler.,,Нарисуйте прямую линию на бумаге с помощью линейки.
